text_reference,X,Y,labels,value
older people,13.745658,-4.6545525,20,0.0005557169196199513
trainers,10.684392,-5.602378,42,0.0005519285737186712
karl becker,12.137667,-7.3826847,24,0.0005518465112882875
bigger deductions,9.802656,-3.582897,50,0.0005514255007168259
goodnight,11.621629,-5.029707,51,0.0005489045697086013
iranians,10.052125,0.94150186,22,0.0005484826714051836
partnership,9.232113,-2.0534687,63,0.0005477825180273365
horrors,11.303345,-5.13146,-1,0.0005453783925752399
demagogic rhetoric,10.747281,-2.2191763,57,0.0005453682183286828
bashar al,11.177038,-6.2943573,-1,0.0005451856749903379
color,9.712825,-4.664453,49,0.0005429472678738648
national security experts,9.3677025,-0.80337244,40,0.0005394969809699836
condition,10.782876,-1.5242591,-1,0.0005394452032753219
first step,6.247781,-4.399545,5,0.000538270418853098
entire,9.62786,-4.7402887,49,0.0005378605751573168
delegates,10.3193655,-6.473397,-1,0.0005375410715394643
legislation,9.316668,-0.68220145,40,0.000535733732970027
acceptable,11.711694,-4.193133,51,0.0005348330567389293
whose son,13.04684,-5.0103297,32,0.0005342518651650687
wonderful job,12.209458,-3.5847936,47,0.0005339333759567501
former republican members,9.814978,-7.753768,-1,0.0005316217465380125
critics,10.846468,-1.0614765,-1,0.0005307196156533412
bipartisan open debate coalition,9.286701,-1.8319654,-1,0.0005307060598702272
issue,9.642171,-2.0272832,61,0.0005306757651557783
new,10.649679,-6.908671,15,0.0005293565691755983
discrimination,10.516094,-1.0700723,37,0.0005279934019262934
serious health problems,11.573594,-2.1110356,-1,0.0005268713881162825
safety,8.938725,-1.3809524,66,0.0005265839976375527
politicians,10.127553,1.2196604,-1,0.0005258239027348954
gold star family,12.26567,-6.6275954,-1,0.0005253172188437531
private position,9.330258,-1.6195331,64,0.0005249796721867822
online forum,10.847971,-3.3975458,-1,0.0005246142751202761
private stance,9.439553,-1.6612793,64,0.0005240634695192047
complete shutdown,10.32843,-4.050738,-1,0.0005231145724399428
views,10.605066,-2.8673253,53,0.0005214441585739345
decent chance,11.921531,-3.2800636,46,0.0005191631027780387
faced,10.848367,-0.61154044,16,0.0005184823624895512
governor,9.993472,-7.8747354,6,0.0005184774447710667
super,7.8261886,-3.0613234,12,0.0005181729261746308
preschool,10.725135,-5.3074217,43,0.0005179720752129997
votes,9.512998,-7.8786516,7,0.0005150445575660729
rubble,9.8014965,-5.0476875,49,0.0005131548871089415
russian air force,9.299055,0.82841945,21,0.0005129414136474529
young people,13.738742,-4.6734095,20,0.0005120580219687197
interested,12.393835,-4.3273826,-1,0.0005113234899194498
kind,12.582702,-1.813887,30,0.0005106981812636419
environmental protection agency,9.147486,-0.75390893,40,0.0005101433936144351
schools,10.40583,-1.8214142,-1,0.0005094431311999339
bad judgements,12.613157,-2.4835336,28,0.000508137243842749
comments,11.323195,-3.5452414,-1,0.0005072277663725384
drug lords,9.431349,-0.7303464,40,0.000505934539222482
divisive,10.2322855,-3.7443771,-1,0.0005058892523651606
vast amounts,8.507455,-3.15452,34,0.0005048819346993989
architect,12.124433,-7.4741845,24,0.0005043960644258294
republican mayor,9.952779,-7.865787,6,0.0005042851095259054
muhammad ali,11.876088,-7.2224402,-1,0.0005038136146878011
ambulance,10.673863,-5.652463,42,0.0005026412920217033
goldman sachs,12.1243305,-7.1383204,-1,0.0005026352570868544
making,9.928689,-3.6134105,50,0.0005025384776488666
kerry,12.051586,-7.4092035,24,0.0005017093653121485
aggressiveness,10.862935,-5.1452923,43,0.0005012032476090214
passage,11.167686,-4.495054,52,0.0005010195229414354
story,12.690805,-5.539319,33,0.000500406438823467
deborah wasserman schultz,12.038249,-6.9724517,25,0.0005003748178919868
subject,10.634651,-3.259096,53,0.0004998832969097494
special forces,9.228458,0.7602529,21,0.0004995982875308513
voters,9.507975,-7.8672857,7,0.0004993629770956665
